wallet,amount
8RwLrbQgDDFSbFcvS2zU8q2S8rs75dbMwjiQdk6q2nXB,10000000
Dyd2V25xg1vAQJYpJBAf8Zn2bjQHYQKz8i3Lr1v1drxy,6000000
J9rYQGQAb5m6tBUkesB5284F2UeDAiwpUWKTJnVJSEP9,7000000
2LgPvSaGdcgT6nNQiNuoaPU3rPRkTSDAgrJ2PWLrW7gH,10000000
4B3VSfv957QRspvwMvK7HjWngxFR4JbhPomLEkwaodxk,1000000
5dA91RPxdsk6xrTVvAKz8MwRagHEeMcKiMbVoPbgcsnB,1000000
3z6eWLZ6TGPW1SJoGn2KawYge3rWiXwxiyCn2Akf7t9q,8000000
2tafmckqCmWoodLuzc9uWMqD6aAU9AoVFCohMkx1Ksfv,6000000
DUYpe6xAoKnpQMbds8Ekm43rUqSY8Bo9Lzwkn6F4Bwja,8000000
3fUkqm75VeJ5gDAbqWkB6CyyqKcKC1QiJh761jF9daHb,3000000
GFkuYEDZKBLJCJAHWTD2ZRcrLCijyrHJfKu2Z2Pur8B7,1000000
Cimv2gWp7eEvMMQDfUMEvSpAu9AmQHEHFyLk7eRbttXx,5000000
7dPkGosELmWRgYjjMniix46vYvjP3Mjyic8nNWNLiwBR,5000000
2dxXsPrpZdkWEgPLRGmhDE8V2eRonJevfCDmMyXDgpEb,2000000
3yPWi7FhrsmPM48U6NsTwJ3D7n6YzZu3RJy25dxaHYXC,6000000
6mCQCA13mhL8AFJqK9CBSYyZkEF2uq2ynXuMrRRkkcAt,10000000
DWfnwftcUqEiBLJS6XDYQPDCjjmTpsBciUGy6svRGQ4N,6000000
GELrJghhVP1ktCoLj6B647rAmDGfNvdbgfqE5cYCa6fC,8000000
9BzCFehSXmF6PzU8fTRPGfrHxgmizAgLQgaHWkhPTaH7,5000000
Bywcw5Vt3Neaj3pa7LcoGgrntubBJsRsDejvNxtUsqG8,5000000
